,time,hrv_rnssd
0,2024-10-02T01:05:00.000,19.454
1,2024-10-02T01:10:00.000,16.813
2,2024-10-02T01:15:00.000,23.098
3,2024-10-02T01:30:00.000,25.266
4,2024-10-02T01:35:00.000,21.93
5,2024-10-02T01:40:00.000,25.169
6,2024-10-02T01:45:00.000,22.3
7,2024-10-02T01:50:00.000,23.602
8,2024-10-02T01:55:00.000,21.527
9,2024-10-02T02:00:00.000,17.921
10,2024-10-02T02:05:00.000,16.784
11,2024-10-02T02:10:00.000,14.912
12,2024-10-02T02:15:00.000,17.176
13,2024-10-02T02:20:00.000,15.643
14,2024-10-02T02:25:00.000,15.726
15,2024-10-02T02:30:00.000,14.164
16,2024-10-02T02:35:00.000,14.825
17,2024-10-02T02:40:00.000,13.797
18,2024-10-02T02:45:00.000,17.249
19,2024-10-02T02:50:00.000,15.315
20,2024-10-02T02:55:00.000,16.59
21,2024-10-02T03:00:00.000,18.192
22,2024-10-02T03:05:00.000,19.217
23,2024-10-02T03:10:00.000,20.187
24,2024-10-02T03:15:00.000,20.052
25,2024-10-02T03:20:00.000,20.531
26,2024-10-02T03:25:00.000,22.488
27,2024-10-02T03:30:00.000,23.678
28,2024-10-02T03:35:00.000,23.676
29,2024-10-02T03:40:00.000,25.361
30,2024-10-02T03:45:00.000,24.882
31,2024-10-02T03:50:00.000,24.172
32,2024-10-02T03:55:00.000,23.372
33,2024-10-02T04:00:00.000,18.136
34,2024-10-02T04:05:00.000,15.699
35,2024-10-02T04:10:00.000,16.341
36,2024-10-02T04:15:00.000,17.883
37,2024-10-02T04:20:00.000,18.74
38,2024-10-02T04:25:00.000,16.133
39,2024-10-02T04:30:00.000,17.53
40,2024-10-02T04:35:00.000,27.667
41,2024-10-02T04:40:00.000,25.611
42,2024-10-02T04:45:00.000,20.728
43,2024-10-02T04:50:00.000,20.781
44,2024-10-02T04:55:00.000,21.968
45,2024-10-02T05:00:00.000,26.597
46,2024-10-02T05:05:00.000,26.307
47,2024-10-02T05:10:00.000,26.786
48,2024-10-02T05:15:00.000,27.26
49,2024-10-02T05:20:00.000,30.272
50,2024-10-02T05:25:00.000,26.726
51,2024-10-02T05:30:00.000,21.696
52,2024-10-02T05:35:00.000,25.927
53,2024-10-02T05:40:00.000,20.384
54,2024-10-02T05:45:00.000,19.699
55,2024-10-02T05:50:00.000,22.527
56,2024-10-02T05:55:00.000,30.151
57,2024-10-02T06:00:00.000,24.906
58,2024-10-02T06:05:00.000,31.729
59,2024-10-02T06:10:00.000,29.626
60,2024-10-02T06:15:00.000,32.537
61,2024-10-02T06:20:00.000,31.335
62,2024-10-02T06:25:00.000,30.259
63,2024-10-02T06:30:00.000,28.115
64,2024-10-02T06:35:00.000,30.826
65,2024-10-02T06:40:00.000,33.183
66,2024-10-02T06:45:00.000,30.474
67,2024-10-02T06:50:00.000,29.704
68,2024-10-02T06:55:00.000,31.51
69,2024-10-02T07:00:00.000,34.695
70,2024-10-02T07:20:00.000,25.528
71,2024-10-02T07:25:00.000,33.213
72,2024-10-02T07:30:00.000,23.46
73,2024-10-02T07:35:00.000,32.217
74,2024-10-02T07:40:00.000,30.552
75,2024-10-02T07:45:00.000,31.928
76,2024-10-02T07:50:00.000,41.514
77,2024-10-02T07:55:00.000,38.394
78,2024-10-02T08:05:00.000,43.794
79,2024-10-02T08:10:00.000,33.82
80,2024-10-02T08:15:00.000,38.78
81,2024-10-02T08:20:00.000,34.765
82,2024-10-02T08:25:00.000,35.949
83,2024-10-02T08:30:00.000,33.516
84,2024-10-02T08:35:00.000,37.658
85,2024-10-02T08:40:00.000,36.098
86,2024-10-02T08:45:00.000,42.748
87,2024-10-02T08:50:00.000,24.16
88,2024-10-02T08:55:00.000,30.504
89,2024-10-02T09:00:00.000,23.392
90,2024-10-02T09:05:00.000,26.634
91,2024-10-02T09:10:00.000,28.606
92,2024-10-02T09:15:00.000,26.928
93,2024-10-02T09:20:00.000,27.243
94,2024-10-02T09:30:00.000,32.857
95,2024-10-02T09:35:00.000,39.467
96,2024-10-02T09:40:00.000,35.773
97,2024-10-02T09:45:00.000,31.78
98,2024-10-02T09:50:00.000,27.365
99,2024-10-02T09:55:00.000,25.725
100,2024-10-02T10:00:00.000,22.865
101,2024-10-02T10:05:00.000,21.869
102,2024-10-02T10:10:00.000,26.217
103,2024-10-02T10:15:00.000,36.308
104,2024-10-02T10:20:00.000,30.116
105,2024-10-02T10:25:00.000,32.351
